,"Boston, MA metro area All Residential Median Sale Price","Boston, MA metro area All Residential Median Sale Price Best ARMA","Boston, MA metro area All Residential Median Sale Price Best ARMA Add","Boston, MA metro area All Residential Median Sale Price Best SARMA","Boston, MA metro area All Residential Median Sale Price Baseline Trend","Boston, MA metro area All Residential Median Sale Price Trend Seasonality","Boston, MA metro area All Residential Median Sale Price Trend Seasonality Additional","Boston, MA metro area All Residential Median Sale Price Best ARMA Error","Boston, MA metro area All Residential Median Sale Price Best ARMA Add Error","Boston, MA metro area All Residential Median Sale Price Best SARMA Error","Boston, MA metro area All Residential Median Sale Price Baseline Trend Error","Boston, MA metro area All Residential Median Sale Price Trend Seasonality Error","Boston, MA metro area All Residential Median Sale Price Trend Seasonality Additional Error"
2015-08-31,378.0,366.87616717638184,365.6658062120536,374.7281193617861,354.7757986111111,378.40166666666664,374.48408110119044,11.123832823618159,12.33419378794639,3.2718806382138723,23.2242013888889,-0.4016666666666424,3.5159188988095593
2015-09-30,350.0,351.39802716801427,350.1163088019442,355.0753751481977,356.1507986111111,353.96714285714285,350.7216964285714,-1.3980271680142664,-0.11630880194417159,-5.075375148197679,-6.1507986111110995,-3.9671428571428464,-0.7216964285714198
2015-10-31,344.0,345.93770772546156,345.1599936383239,346.8344222721571,357.3591319444444,345.907619047619,342.8955691964285,-1.9377077254615642,-1.159993638323897,-2.8344222721570986,-13.359131944444414,-1.9076190476189936,1.1044308035715176
2015-11-30,357.0,354.2916499131586,351.1514387590237,351.53122540922516,358.6507986111111,355.27071428571423,357.8023809523809,2.708350086841392,5.8485612409763235,5.468774590774842,-1.6507986111110995,1.7292857142857656,-0.8023809523808723
2015-12-31,350.0,361.0626471327169,360.612274069063,354.3244034595833,359.5674652777777,353.27071428571423,355.51743303571425,-11.062647132716904,-10.612274069063005,-4.324403459583323,-9.567465277777728,-3.2707142857142344,-5.517433035714248
2016-01-31,349.0,353.2696954388401,354.36217520845463,341.8803041069015,359.9424652777778,346.985,348.4609635416667,-4.269695438840074,-5.36217520845463,7.119695893098481,-10.942465277777785,2.0149999999999864,0.539036458333328
2016-02-29,320.0,334.1306055847078,331.8832295008057,327.12784976688295,359.8591319444444,326.95374999999996,330.4705022321428,-14.13060558470778,-11.883229500805726,-7.127849766882946,-39.859131944444414,-6.953749999999957,-10.470502232142792
2016-03-31,345.0,327.99781703529754,326.0714635351897,334.9230123822297,360.4424652777777,340.72979166666664,343.14383928571425,17.002182964702456,18.928536464810293,10.076987617770328,-15.442465277777728,4.270208333333358,1.8561607142857497
2016-04-30,360.0,351.25206218973415,350.0437474443228,353.3943967093477,362.1924652777777,355.08916666666664,356.12728422619045,8.747937810265853,9.956252555677224,6.605603290652311,-2.1924652777777283,4.910833333333358,3.8727157738095457
2016-05-31,370.0,376.67416731446497,375.3496131591681,379.1406410560958,363.5257986111111,372.78187499999996,372.02787574404755,-6.674167314464967,-5.349613159168086,-9.140641056095774,6.4742013888889005,-2.781874999999957,-2.027875744047549
2016-06-30,395.0,394.4352980417664,392.38203723063106,399.4829163455003,364.5674652777777,398.17547619047616,400.73326636904756,0.564701958233627,2.617962769368944,-4.482916345500314,30.43253472222227,-3.175476190476161,-5.733266369047556
2016-07-31,397.0,391.9521443519524,390.8266817842898,393.42998754394824,365.9007986111111,395.40166666666664,398.0008668154762,5.047855648047573,6.1733182157101965,3.5700124560517565,31.0992013888889,1.5983333333333576,-1.0008668154761722
2016-08-31,390.0,390.7555747022776,388.09124013706975,388.361000835436,367.1091319444444,390.73499999999996,394.09242187499996,-0.7555747022776131,1.9087598629302533,1.6389991645639839,22.890868055555586,-0.7349999999999568,-4.092421874999957
2016-09-30,370.0,365.1137606976048,365.4102160407047,367.75403945216874,368.4424652777778,366.25880952380953,369.04760416666664,4.886239302395211,4.589783959295289,2.2459605478312596,1.557534722222215,3.741190476190468,0.9523958333333553
2016-10-31,360.0,363.57481768564674,362.6711262666199,359.0601743841494,369.9424652777777,358.4909523809523,361.6417968749999,-3.5748176856467353,-2.671126266619922,0.9398256158506229,-9.942465277777728,1.509047619047692,-1.6417968749998977
2016-11-30,375.0,372.7609392963125,370.81069017915223,369.33251155162856,371.3591319444444,367.97904761904755,371.1139062499999,2.239060703687528,4.189309820847768,5.667488448371444,3.640868055555586,7.020952380952451,3.8860937500001
2016-12-31,370.0,365.59942248015216,364.7387593120951,372.14979294381004,372.9424652777777,366.64571428571423,369.92210937499993,4.400577519847843,5.261240687904888,-2.1497929438100414,-2.9424652777777283,3.3542857142857656,0.07789062500006594
2017-01-31,370.0,364.55043087517674,364.19968701749195,366.7359286256147,374.65079861111104,361.69333333333327,363.06918526785705,5.449569124823256,5.800312982508046,3.26407137438531,-4.650798611111043,8.306666666666729,6.930814732142949
2017-02-28,344.0,349.6167550915792,351.23054956007394,348.16839052873144,376.52579861111104,343.6204166666666,341.2628273809523,-5.6167550915791935,-7.230549560073939,-4.168390528731436,-32.52579861111104,0.37958333333341443,2.737172619047726
2017-03-31,368.0,360.42249562577865,359.95262035788124,358.6038600216145,378.48413194444436,358.77145833333327,360.7882812499999,7.577504374221348,8.047379642118756,9.39613997838552,-10.484131944444357,9.228541666666729,7.211718750000102
2017-04-30,380.0,381.1684091814689,380.96477571024883,376.76813958995956,380.2757986111111,373.1725,376.2092671130952,-1.1684091814689168,-0.9647757102488299,3.23186041004044,-0.2757986111110995,6.827499999999986,3.7907328869047774
2017-05-31,400.0,394.0957325470282,,399.12766152635305,382.3591319444445,391.6152083333334,,5.904267452971794,,0.8723384736469484,17.640868055555472,8.384791666666615,
